CODMUNOCOR,I,II,III,IV,IX,V,VI,VII,VIII,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XX,n,ds_nomepad,in_pobreza,nu_latitud,nu_longit
291720,2,14,1,6,20,4,3,"","",9,4,"",1,"","",1,"",13,8,86,ITUACU,N,"-13,80741","-41,31098"
292530,34,87,6,68,197,13,14,"",1,66,35,2,1,19,1,21,15,53,230,863,PORTO SEGURO,N,"-16,44906","-39,06211"
291005,6,26,1,19,56,"",7,"","",15,8,"",2,3,1,4,"",23,77,248,DIAS D'AVILA,N,"-12,60437","-38,29799"
292260,1,1,"",7,7,1,"","","",2,1,"","",1,"","","",13,12,46,NILO PECANHA,S,"-13,60449","-39,11299"
291835,2,18,1,5,15,2,4,"","",8,"",2,"","","",1,"",19,8,85,JOAO DOURADO,S,"-11,34641","-41,65999"
291685,3,6,"",13,20,1,"","","",1,3,"","","","","","",4,15,66,ITATIM,S,"-12,70925","-39,70377"
293000,2,12,1,3,7,3,"","","",2,1,"","","","","","",2,3,36,SEBASTIAO LARANJEIRAS,S,"-14,57482","-42,94411"
290960,4,10,"",3,15,"",1,"","",8,5,1,"",1,"","",1,47,9,105,CRISOPOLIS,S,"-11,51779","-38,15172"
291340,5,4,1,8,24,1,1,"","",9,1,1,"",1,"",1,"",14,2,73,IGAPORA,S,"-13,76798","-42,71788"
292320,2,11,"",4,31,1,"","","",11,3,"","","","","","",39,19,121,OLIVEIRA DOS BREJINHOS,N,"-12,32059","-42,89702"
292303,"",6,"",3,25,"","","","",2,"","","","","",1,"",13,5,55,NOVO HORIZONTE,N,"-12,80200","-42,16779"
290390,14,23,2,10,80,2,5,"","",31,14,1,3,6,"",11,2,86,79,369,BOM JESUS DA LAPA,S,"-13,25411","-43,41714"
292890,1,4,"",2,12,"","","","",3,3,1,"",3,"","","",7,18,54,SAO DESIDERIO,S,"-12,36090","-44,97410"
292960,7,13,"",13,39,3,"","","","",4,"","","","",1,1,8,5,94,SAPEACU,N,"-12,73516","-39,19481"
292540,1,6,"","",16,1,"","","","",1,"",1,"","","","",3,11,40,POTIRAGUA,S,"-15,59246","-39,87566"
292470,"",7,"",2,13,"","","","",6,3,"","","","","","",9,6,46,PIRIPA,S,"-14,94687","-41,72487"
292595,5,7,1,10,35,1,2,"","",6,6,2,"","","",1,3,20,19,118,RAFAEL JAMBEIRO,S,"-12,40742","-39,50064"
292840,4,3,"",5,10,"",2,"","",1,6,"","","","",6,"",6,20,63,SANTA RITA DE CASSIA,N,"-11,00805","-44,51905"
292070,"",3,"",4,9,1,1,"","",3,"","",1,1,"","","",5,10,38,MARAU,N,"-14,10553","-39,02495"
293270,1,5,"",3,12,1,2,"","",1,1,1,"","","","","",29,25,81,URUCUCA,N,"-14,59204","-39,28380"
291915,3,18,"",14,23,4,6,"","",4,2,"","",3,"",1,"",1,21,100,LAPAO,S,"-11,38014","-41,83191"
291710,2,5,"",5,28,1,1,"","",10,1,"",2,"","","","",44,5,104,ITORORO,S,"-15,11904","-40,07170"
291730,6,6,1,22,32,1,4,"","",4,6,"","","","",1,"",7,16,106,ITUBERA,N,"-13,73616","-39,14904"
292140,"",2,"",5,3,"","","","",2,1,"","","","","","",12,7,32,MIRANGABA,S,"-10,95612","-40,57479"
291940,1,6,"",5,13,1,2,"","",9,1,"",4,1,"","","",7,6,56,LICINIO DE ALMEIDA,S,"-14,67587","-42,50268"
290650,15,41,8,52,143,4,12,"","",74,14,2,1,4,"",9,1,25,104,509,CANDEIAS,N,"-12,67192","-38,54360"
290430,1,5,"",10,36,"",2,"","",7,3,"",1,1,"","","",9,5,80,BREJOES,S,"-13,10554","-39,79349"
290280,10,21,1,15,52,1,"","","",19,19,"","",4,"",9,1,14,27,193,BARRA DA ESTIVA,S,"-13,62020","-41,33170"
293280,7,4,"",4,13,"",1,"","",4,1,"",1,2,"","","",43,14,94,UTINGA,S,"-12,08332","-41,09583"
290940,1,3,"",3,8,"","","","",3,"","","","","","","",10,4,32,COTEGIPE,S,"-12,02860","-44,25248"
291160,2,5,"",6,17,"",1,"","",7,"","","","","","","",11,15,64,GOVERNADOR MANGABEIRA,S,"-12,60155","-39,03402"
292430,3,7,"",10,25,2,2,"","",7,7,"",2,1,"",2,"",60,6,134,PIATA,S,"-13,16446","-41,77062"
280030,12,43,3,9,49,"",3,"","",18,17,2,1,9,"",16,7,1,19,209,ARACAJU,N,"-10,90722","-37,04821"
291535,1,7,"",6,19,3,2,"","",1,"","",2,"","","","",2,15,58,ITAGUACU DA BAHIA,N,"-11,00872","-42,40116"
292590,3,12,"",7,22,"","","","",3,2,1,1,1,"",3,2,33,9,99,QUIJINGUE,S,"-10,75167","-39,20661"
291010,1,11,"",2,16,"","","","",8,1,1,"",2,"","","",3,9,54,DOM BASILIO,S,"-13,76333","-41,77088"
290910,2,10,"",6,14,1,1,"","",4,2,"","","","",4,1,8,11,64,CORIBE,N,"-13,82784","-44,45304"
291690,3,8,"",8,17,2,1,"","",4,3,"",1,"","",3,"",38,3,91,ITIRUCU,S,"-13,53240","-40,14617"
292910,13,5,"",11,27,"","","","",5,4,"",1,3,"","","",7,10,86,SAO FELIPE,S,"-12,84508","-39,08401"
290070,44,109,10,155,358,18,14,"","",72,57,3,5,21,4,32,11,102,235,1250,ALAGOINHAS,N,"-12,13418","-38,42262"
290020,"",7,"",5,27,"","","","",3,6,"",2,"","",3,"",2,16,71,ABARE,S,"-8,72342","-39,11659"
292805,"",1,"",1,6,"",1,"","","",1,"",1,"","","","",28,23,62,SANTA LUZIA,N,"-15,43279","-39,33249"
291600,4,12,"",13,46,2,3,"","",11,8,"","","","",1,1,11,13,125,ITANHEM,N,"-17,16633","-40,32705"
290450,"",16,1,6,26,"",18,"","",3,5,"","",2,"","",2,1,9,89,BROTAS DE MACAUBAS,S,"-12,00264","-42,62469"
292100,11,23,3,15,59,2,2,"","",8,12,1,"",4,"",4,"",15,61,220,MATA DE SAO JOAO,N,"-12,52997","-38,29730"
292190,"",7,1,3,15,1,1,"","",1,2,"","","","",1,"",2,10,44,MUCUGE,S,"-13,00389","-41,37321"
530010,3,29,1,3,17,1,1,"","",9,9,"",3,"","",1,4,"",8,89,BRASILIA,N,"-15,79409","-47,88791"
293090,"",1,"",1,4,"","","","",2,"",1,"","","","","",5,2,16,TABOCAS DO BREJO VELHO,S,"-12,70730","-44,01119"
292660,45,27,2,29,109,5,7,"",1,53,26,3,1,11,2,7,3,105,54,490,RIBEIRA DO POMBAL,S,"-10,83628","-38,53610"
290420,1,8,"",7,10,1,1,"","",4,"","","",2,"","","",1,2,37,BOTUPORA,S,"-13,38087","-42,52928"
290350,2,9,"",9,19,3,1,"",1,8,5,2,"","","","","",17,14,90,BELO CAMPO,S,"-15,03350","-41,26003"
292440,2,2,"",8,23,2,"","","",4,"","","",1,"","","",36,10,88,PILAO ARCADO,S,"-9,99777","-42,48476"
291120,6,13,"",27,45,3,1,"","",7,10,"","",1,"",5,1,50,19,188,GANDU,N,"-13,74378","-39,48632"
293240,1,15,1,3,32,"",3,"","",11,3,"","","","","","",1,10,80,UIBAI,S,"-11,33811","-42,13380"
292030,1,1,"","",1,"",2,"","",2,"","","","","",1,"",8,4,20,MALHADA DE PEDRAS,S,"-14,37795","-41,87870"
290327,4,4,1,2,13,1,"","","",3,1,2,"","","","","",13,7,51,BARROCAS,N,"-11,52911","-39,07867"
292467,"",3,"","",5,"","","","",1,"","","","","","","",7,1,17,PIRAI DO NORTE,N,"-13,76123","-39,37452"
291830,"",3,"",7,23,1,"","","",5,2,"","",1,"","","",15,4,61,JITAUNA,S,"-14,01743","-39,88963"
291660,1,3,1,1,16,"","","","",10,3,"","","","","","",8,6,49,ITAPITANGA,N,"-14,42119","-39,56636"
320490,3,3,"",1,9,"","","","",8,2,"","",1,"","","","",2,29,SAO MATEUS,N,"-18,71845","-39,85820"
292225,"","","","",3,1,"","","","",1,"","","","","","",8,6,19,MUQUEM DE SAO FRANCISCO,S,"-12,06826","-43,55186"
290515,1,6,"","",10,1,1,"","",2,"","","","","","","",3,2,26,CAETANOS,S,"-14,33856","-40,90929"
292460,1,5,"",5,11,"","","","",4,2,"","",1,"",1,"",38,8,76,PINDOBACU,S,"-10,73421","-40,35716"
292130,3,7,1,7,21,1,1,"","",4,6,"","","","","","",3,10,64,MILAGRES,N,"-12,87057","-39,85913"
290030,4,7,1,3,12,"",2,"","",3,1,"","","","","","",28,11,72,ACAJUTIBA,S,"-11,66261","-38,01829"
310620,1,6,"",1,6,"",1,"","","",4,"","",1,"",1,"",1,3,25,BELO HORIZONTE,N,"-19,93752","-43,92645"
292650,2,2,"",6,9,"","","","",4,"","","","","","","","",6,29,RIBEIRA DO AMPARO,S,"-11,03916","-38,43055"
293015,3,7,"",3,14,"","","","",2,3,"","",1,"","",1,52,25,111,SERRA DO RAMALHO,N,"-13,56447","-43,58073"
291220,1,3,"",1,8,"",1,"","","","","","","","","","",5,9,28,IBICOARA,S,"-13,42633","-41,27207"
290640,"",1,1,1,5,"","","","",1,"","","","","","","",13,2,24,CANDEAL,S,"-11,80497","-39,12372"
290040,1,"","",3,9,1,1,"","",4,3,1,"",1,"",1,1,20,6,52,AGUA FRIA,S,"-11,87293","-38,76808"
291845,"","","","",3,"","","","",1,1,"","","","","","",20,5,30,JUCURUCU,S,"-16,84452","-40,15881"
292770,2,5,"",1,15,1,2,"","",6,4,2,1,"","","","",9,3,51,SANTA CRUZ CABRALIA,N,"-16,33810","-39,01318"
292905,3,4,1,11,33,4,5,"","",7,6,"","",1,1,3,"","",18,97,SAO FELIX DO CORIBE,S,"-13,40422","-44,19687"
290340,10,10,"",9,48,1,3,"","",8,4,"","",1,"",1,1,12,2,110,BELMONTE,N,"-15,86140","-38,88030"
291165,2,6,1,1,20,"","","","",3,1,"","",1,"","","",1,4,40,GUAJERU,S,"-14,54696","-41,93715"
290540,"","","","",6,2,"","","",2,"","","","","","","","",18,28,CAIRU,N,"-13,48760","-39,04325"
292275,"","","",1,4,1,2,"","","",1,"","","","","","",5,3,17,NOVA IBIA,N,"-13,80991","-39,62569"
290440,"",5,"",4,3,2,"","","",3,1,"","","","","","",9,9,36,BREJOLANDIA,S,"-12,48669","-43,96566"
290225,"",1,"",2,9,"",2,"","",1,1,"","","","","","",10,18,44,ARATACA,N,"-15,26087","-39,41328"
293070,26,30,3,33,112,4,7,"","",47,23,3,1,6,1,8,2,37,179,522,SIMOES FILHO,N,"-12,78394","-38,41152"
290090,2,"","","",8,1,"","","",5,2,"","","","","","","",2,20,ALMADINA,N,"-14,70605","-39,63590"
320501,"","","","","","","","","","","","","","","","","","",1,1,SOORETAMA,N,"-19,19195","-40,09649"
292670,1,10,1,7,24,"",2,"","",12,3,3,"","","",1,"",4,11,79,RIO DE CONTAS,S,"-13,58861","-41,81879"
291185,"",8,1,2,13,1,1,"","",4,2,"","","","","","",6,9,47,HELIOPOLIS,S,"-10,67530","-38,28023"
290620,4,14,1,5,31,5,3,"","",4,"","",2,1,"","","",10,10,90,CANARANA,S,"-11,68758","-41,76549"
291250,1,9,2,10,24,"",1,"","",10,1,"","",2,"","","",7,4,71,IBIPITANGA,S,"-12,87911","-42,49123"
290750,5,27,4,35,69,3,3,"","",22,9,1,"",1,"",4,"",36,51,270,CATU,N,"-12,35519","-38,37629"
312160,"","","","","","","","","","","","","","","","","","",1,1,DIAMANTINA,N,"-18,24209","-43,59446"
