"codmunocor","causabas","ano","n","ds_nomepad","in_pobreza","nu_latitud","nu_longit"
290070,"II",2006,80,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2007,108,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2008,87,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2009,108,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2010,99,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2011,87,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2012,95,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2013,124,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2014,79,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2015,91,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2016,109,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"II",2017,113,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2006,240,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2007,322,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2008,284,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2009,374,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2010,316,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2011,327,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2012,321,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2013,289,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2014,309,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2015,294,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2016,358,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"IX",2017,320,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2006,77,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2007,104,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2008,118,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2009,104,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2010,94,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2011,82,"ALAGOINHAS","N","-12,13418","-38,42262"
290070,"X",2012,94,"ALAGOINHAS","N","-12,13418","-38,42262"
