"idade","sexo","racacor","causabas","ano","n"
"< 1","F","Ama","I","2006",1
"< 1","F","Ama","IV","2007",1
"< 1","F","Ama","X","2010",1
"< 1","F","Ama","XVI","2006",5
"< 1","F","Ama","XVI","2007",5
"< 1","F","Ama","XVI","2008",5
"< 1","F","Ama","XVI","2009",1
"< 1","F","Ama","XVI","2011",1
"< 1","F","Ama","XVI","2012",1
"< 1","F","Ama","XVI","2013",2
"< 1","F","Ama","XVI","2014",1
"< 1","F","Ama","XVI","2017",2
"< 1","F","Ama","XVII","2007",1
"< 1","F","Ama","XVII","2008",2
"< 1","F","Ama","XVII","2009",1
"< 1","F","Ama","XVII","2010",1
"< 1","F","Ama","XVII","2011",1
"< 1","F","Ama","XVII","2012",1
"< 1","F","Ama","XX","2008",1
"< 1","F","Bra","I","2006",26
"< 1","F","Bra","I","2007",15
"< 1","F","Bra","I","2008",21
"< 1","F","Bra","I","2009",9
"< 1","F","Bra","I","2010",17
"< 1","F","Bra","I","2011",13
"< 1","F","Bra","I","2012",13
"< 1","F","Bra","I","2013",11
"< 1","F","Bra","I","2014",9
"< 1","F","Bra","I","2015",14
"< 1","F","Bra","I","2016",6
"< 1","F","Bra","I","2017",4
"< 1","F","Bra","II","2006",2
"< 1","F","Bra","II","2010",1
"< 1","F","Bra","II","2011",1
"< 1","F","Bra","II","2012",5
"< 1","F","Bra","II","2013",1
"< 1","F","Bra","II","2014",1
"< 1","F","Bra","II","2015",1
"< 1","F","Bra","II","2016",3
"< 1","F","Bra","II","2017",1
"< 1","F","Bra","III","2006",3
"< 1","F","Bra","III","2007",4
"< 1","F","Bra","III","2008",2
"< 1","F","Bra","III","2009",2
"< 1","F","Bra","III","2010",3
"< 1","F","Bra","III","2011",5
"< 1","F","Bra","III","2012",4
"< 1","F","Bra","III","2013",2
"< 1","F","Bra","III","2014",1
"< 1","F","Bra","III","2015",1
"< 1","F","Bra","IV","2006",4
"< 1","F","Bra","IV","2007",1
"< 1","F","Bra","IV","2008",5
"< 1","F","Bra","IV","2009",1
"< 1","F","Bra","IV","2011",7
"< 1","F","Bra","IV","2012",3
"< 1","F","Bra","IV","2013",6
"< 1","F","Bra","IV","2014",2
"< 1","F","Bra","IV","2015",2
"< 1","F","Bra","IV","2016",1
"< 1","F","Bra","IV","2017",4
"< 1","F","Bra","IX","2006",3
"< 1","F","Bra","IX","2007",1
"< 1","F","Bra","IX","2010",2
"< 1","F","Bra","IX","2011",4
"< 1","F","Bra","IX","2012",2
"< 1","F","Bra","IX","2013",3
"< 1","F","Bra","IX","2014",2
"< 1","F","Bra","IX","2015",1
"< 1","F","Bra","IX","2016",2
"< 1","F","Bra","VI","2006",2
"< 1","F","Bra","VI","2007",2
"< 1","F","Bra","VI","2008",7
"< 1","F","Bra","VI","2009",2
"< 1","F","Bra","VI","2010",4
